X,Y,medidor,circuito,anom_s_lec,anom_c_lec,comentario,lat y,lon x,icon_url
-100.19636,25.71986,j4745x,LAF04145,NA,NA,ok,25.719860000000001,-100.196359999999999,./0.png
-100.20098,25.72366,j484nh,LAF04145,NA,C5-SinSello,na,25.723659999999999,-100.200980000000001,./0.png
-100.19603,25.71738,j485f9,LAF04145,NA,C5-SinSello,ok,25.717379999999999,-100.196029999999993,./0.png
-100.18626,25.72096,j4k449,LAF04145,NA,NA,na,25.720960000000002,-100.186260000000004,./0.png
-100.19939,25.72488,j4u599,LAF04145,NA,NA,ok,25.724879999999999,-100.199389999999994,./0.png
-100.18702,25.72044,j507ru,LAF04145,NA,NA,na,25.720440000000000,-100.187020000000004,./0.png
-100.19414,25.7159,j52p80,LAF04145,NA,C5-SinSello,ok,25.715900000000001,-100.194140000000004,./0.png
-100.20299,25.71917,j535a3,LAF04145,NA,C5-SinSello,na,25.719169999999998,-100.202990000000000,./0.png
-100.194,25.71527,j53h45,LAF04145,NA,NA,ok,25.715270000000000,-100.194000000000003,./0.png
-100.19434,25.71628,j53p54,LAF04145,NA,C5-SinSello,ok,25.716280000000001,-100.194339999999997,./0.png
-100.19527,25.71561,j54c76,LAF04145,NA,NA,ok,25.715610000000002,-100.195269999999994,./0.png
-100.1954,25.71596,j55c11,LAF04145,NA,NA,ok,25.715959999999999,-100.195400000000006,./0.png
-100.194,25.71546,j55c15,LAF04145,NA,C5-SinSello,ok,25.715460000000000,-100.194000000000003,./0.png
-100.20928,25.72403,j55c44,LAF04145,NA,M-Modernizacion,na,25.724029999999999,-100.209280000000007,./0.png
-100.19433,25.71624,j55p70,LAF04145,NA,NA,ok,25.716239999999999,-100.194329999999994,./0.png
-100.19634,25.72291,j55p75,LAF04145,NA,NA,ok,25.722909999999999,-100.196340000000006,./0.png
-100.19587,25.72597,j55p83,LAF04145,NA,NA,na,25.725970000000000,-100.195869999999999,./0.png
-100.19469,25.71615,j55p90,LAF04145,NA,NA,ok,25.716149999999999,-100.194689999999994,./0.png
-100.1869,25.7215,j560le,LAF04145,NA,NA,na,25.721499999999999,-100.186899999999994,./0.png
-100.1924,25.72829,j563le,LAF04145,NA,NA,na,25.728290000000001,-100.192400000000006,./0.png
-100.19426,25.71599,j56c02,LAF04145,NA,NA,ok,25.715990000000001,-100.194260000000000,./0.png
-100.19654,25.72329,j56c62,LAF04145,NA,NA,ok,25.723289999999999,-100.196539999999999,./0.png
